Gene	MYC_RNA
BICR18_UPPER_AERODIGESTIVE_TRACT	5.669121762
TE4_OESOPHAGUS	5.193378569
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
ECC10_STOMACH	6.83537861
TUHR14TKB_KIDNEY	5.345370322
YD15_SALIVARY_GLAND	5.127832523
UBLC1_URINARY_TRACT	2.522227591
ECGI10_OESOPHAGUS	6.2532371
CW2_LARGE_INTESTINE	7.638828297
SNU761_LIVER	5.008791911
SNU61_LARGE_INTESTINE	5.890742331
NCIH1915_LUNG	5.397271964
SNU324_PANCREAS	5.67621321
YD10B_UPPER_AERODIGESTIVE_TRACT	5.105897162
HCC2279_LUNG	6.086341321
HLC1_LUNG	
TUHR10TKB_KIDNEY	5.349471839
HEC1B_ENDOMETRIUM	5.542123717
VMRCLCP_LUNG	
TGBC11TKB_STOMACH	6.351509337
OVK18_OVARY	5.292417268
SNU1077_ENDOMETRIUM	6.387305703
HCC1588_LUNG	6.350883219
SNU213_PANCREAS	5.878201001
HT115_LARGE_INTESTINE	6.803143954
TE14_OESOPHAGUS	6.490355137
TE8_OESOPHAGUS	5.712683476
SNU520_STOMACH	6.069302742
JHUEM3_ENDOMETRIUM	4.607877394
LI7_LIVER	4.247557577
NCIH838_LUNG	2.341239734
SNU119_OVARY	3.861380015
SNU1033_LARGE_INTESTINE	6.067527583
SNUC5_LARGE_INTESTINE	5.015431047
GSS_STOMACH	6.540481753
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.263960722
HCC1171_LUNG	5.252472998
SNUC4_LARGE_INTESTINE	6.681062076
U138MG_CENTRAL_NERVOUS_SYSTEM	
SNU620_STOMACH	6.152817563
ECC12_STOMACH	5.673450561
GSU_STOMACH	6.726958485
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.397517705
JHOM2B_OVARY	6.194108166
MDAMB231_BREAST	5.026922379
OV90_OVARY	5.16919194
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.038817371
OVTOKO_OVARY	4.592596413
OVCAR4_OVARY	4.866094035
HLF_LIVER	4.926909535
HCT15_LARGE_INTESTINE	5.796918011
SW1463_LARGE_INTESTINE	6.661287297
SF295_CENTRAL_NERVOUS_SYSTEM	3.553503328
WM115_SKIN	3.280968951
JHH4_LIVER	5.131372184
OE33_OESOPHAGUS	6.467806396
CCK81_LARGE_INTESTINE	6.59679805
JHH1_LIVER	5.53176207
SJSA1_BONE	2.092213064
NCIH2228_LUNG	5.823995249
RERFLCAI_LUNG	5.852933963
SKMES1_LUNG	5.052192897
NCIH520_LUNG	5.904502877
JHH5_LIVER	6.20738333
FU97_STOMACH	4.432396749
COLO800_SKIN	4.118404565
NCIH1963_LUNG	-0.473743396
RL952_ENDOMETRIUM	5.29539593
J82_URINARY_TRACT	4.590908741
HCC15_LUNG	4.512268227
M059K_CENTRAL_NERVOUS_SYSTEM	2.570190411
CALU6_LUNG	1.201237319
SKLU1_LUNG	5.191455521
SW900_LUNG	4.086587366
UACC62_SKIN	4.936992362
MFE280_ENDOMETRIUM	5.090292881
MFE319_ENDOMETRIUM	5.65926852
MFE296_ENDOMETRIUM	3.223913027
GOS3_CENTRAL_NERVOUS_SYSTEM	3.243421999
GI1_CENTRAL_NERVOUS_SYSTEM	4.644477725
PC14_LUNG	4.771133377
KYSE410_OESOPHAGUS	5.009761486
A204_SOFT_TISSUE	4.928955106
PATU8902_PANCREAS	5.810838129
NCIH810_LUNG	7.101373982
RERFLCMS_LUNG	4.551163402
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.126268384
DANG_PANCREAS	6.31408781
NCIH460_LUNG	6.047155538
KYSE140_OESOPHAGUS	4.889424029
KYSE180_OESOPHAGUS	6.161118655
HUPT3_PANCREAS	6.447257055
EFE184_ENDOMETRIUM	7.3623104
GCIY_STOMACH	7.232424587
SH10TC_STOMACH	4.677928744
CAOV4_OVARY	5.591402614
HCC2218_BREAST	5.882416644
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.736374162
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.851973927
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.715019461
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.308209858
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.449586083
KNS60_CENTRAL_NERVOUS_SYSTEM	4.65438222
KNS81_CENTRAL_NERVOUS_SYSTEM	4.389685819
KPNSI9S_AUTONOMIC_GANGLIA	1.56297929
LU99_LUNG	6.821058856
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.301142815
MKN1_STOMACH	2.602766703
MKN74_STOMACH	5.756318605
KP3_PANCREAS	5.454957517
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.735332693
