Gene	MYC_RNA
CAOV3_OVARY	3.985236105
HEPG2_LIVER	6.150404438
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
NCIH524_LUNG	9.240763387
NCIH209_LUNG	-1.592921067
MIAPACA2_PANCREAS	6.111302854
MCAS_OVARY	5.339450846
SBC5_LUNG	4.47248621
COLO829_SKIN	4.953190427
VCAP_PROSTATE	6.824270737
COLO704_OVARY	
IPC298_SKIN	6.732477061
CAPAN2_PANCREAS	5.661651662
EFM192A_BREAST	5.776462551
HS766T_PANCREAS	4.656027087
EFO27_OVARY	5.154670725
A2780_OVARY	6.008626775
NCIH196_LUNG	2.389855939
IGROV1_OVARY	6.162681897
NCIH889_LUNG	1.913605839
NCIH211_LUNG	7.591689659
HS571T_OVARY	
MDAPCA2B_PROSTATE	6.021977608
SKMEL24_SKIN	3.091255714
K029AX_SKIN	4.935388453
HT1376_URINARY_TRACT	5.287879745
NCIH2171_LUNG	8.080235905
PANC1005_PANCREAS	5.63907293
EVSAT_BREAST	
HS695T_SKIN	3.128826631
CHL1_SKIN	
LOUNH91_LUNG	4.217353089
LK2_LUNG	7.421684385
TOV21G_OVARY	5.516790612
SKMEL3_SKIN	5.49414975
ASPC1_PANCREAS	5.24910969
OVSAHO_OVARY	4.544322324
NCIH441_LUNG	5.742937971
RERFLCSQ1_LUNG	4.138784257
NCIH2030_LUNG	4.584216935
HMCB_SKIN	5.592615459
FUOV1_OVARY	6.561827947
MALME3M_SKIN	4.15168071
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.338900924
T98G_CENTRAL_NERVOUS_SYSTEM	4.476544868
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.637581405
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	3.813830893
HEYA8_OVARY	7.255662255
NCIH2122_LUNG	6.836107002
MELJUSO_SKIN	5.073032588
SW620_LARGE_INTESTINE	6.621427253
HCT116_LARGE_INTESTINE	7.0971138
VMRCRCZ_KIDNEY	5.990985285
DU145_PROSTATE	5.041176856
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.409289669
L33_PANCREAS	5.037666925
SKMEL2_SKIN	
A549_LUNG	5.370835444
A172_CENTRAL_NERVOUS_SYSTEM	3.43721704
NCIH1975_LUNG	7.268874908
COLO679_SKIN	5.191300687
KP2_PANCREAS	3.440267227
HUH1_LIVER	5.824717758
MDAMB453_BREAST	4.741884262
PANC0403_PANCREAS	4.847814364
TYKNU_OVARY	6.149022653
OVISE_OVARY	5.709351425
EFM19_BREAST	6.016944274
MELHO_SKIN	4.749239097
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.308552763
G361_SKIN	6.970888342
NCIH647_LUNG	5.581558965
GMS10_CENTRAL_NERVOUS_SYSTEM	3.713815556
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.592444262
HLFA_LUNG	3.595515989
42MGBA_CENTRAL_NERVOUS_SYSTEM	4.22284884
KCIMOH1_PANCREAS	
HCC44_LUNG	7.271082688
KYSE70_OESOPHAGUS	5.423415767
1321N1_CENTRAL_NERVOUS_SYSTEM	
GAMG_CENTRAL_NERVOUS_SYSTEM	4.806412641
NCIH522_LUNG	5.880736012
EN_ENDOMETRIUM	5.392423688
PK59_PANCREAS	6.20879414
SNB19_CENTRAL_NERVOUS_SYSTEM	
COLO741_SKIN	5.38193116
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.982091511
NCIH661_LUNG	3.713381795
LNCAPCLONEFGC_PROSTATE	6.498943283
LS411N_LARGE_INTESTINE	6.418352695
HCC78_LUNG	5.837323606
YKG1_CENTRAL_NERVOUS_SYSTEM	3.398355675
ESS1_ENDOMETRIUM	4.133265939
U251MG_CENTRAL_NERVOUS_SYSTEM	4.501532907
TE11_OESOPHAGUS	5.590762464
KS1_CENTRAL_NERVOUS_SYSTEM	3.562233106
HEC1A_ENDOMETRIUM	5.474156358
TE1_OESOPHAGUS	4.952618089
JHUEM2_ENDOMETRIUM	0.141749182
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	
RERFLCAD1_LUNG	4.139683429
TE5_OESOPHAGUS	5.06346503
KELLY_AUTONOMIC_GANGLIA	-1.864369927
NCIH1155_LUNG	-2.551729906
TE15_OESOPHAGUS	4.807134571
ABC1_LUNG	3.851585025
8MGBA_CENTRAL_NERVOUS_SYSTEM	2.313900353
NCIH1703_LUNG	5.236901625
AGS_STOMACH	4.988408188
QGP1_PANCREAS	5.380916132
DETROIT562_UPPER_AERODIGESTIVE_TRACT	4.726393427
BT474_BREAST	4.937846842
ACHN_KIDNEY	5.640260936
LOVO_LARGE_INTESTINE	6.501104259
NCIH1581_LUNG	5.590658543
SCABER_URINARY_TRACT	5.389658776
SKMEL30_SKIN	4.946528668
OVKATE_OVARY	3.018344185
22RV1_PROSTATE	6.637150753
C32_SKIN	5.404091303
PANC0327_PANCREAS	5.76190625
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.105903075
DLD1_LARGE_INTESTINE	
ES2_OVARY	6.176368425
NCIH1395_LUNG	6.152405546
NCIH1781_LUNG	5.119493529
LS1034_LARGE_INTESTINE	6.645937631
G402_SOFT_TISSUE	6.347977735
NCIH146_LUNG	6.033038633
SW48_LARGE_INTESTINE	7.770014952
CHP212_AUTONOMIC_GANGLIA	-1.689535325
LS180_LARGE_INTESTINE	6.641971019
SW403_LARGE_INTESTINE	5.986439008
NCIH747_LARGE_INTESTINE	5.676774702
RT4_URINARY_TRACT	4.973240774
KATOIII_STOMACH	5.872451226
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.225028373
SW1417_LARGE_INTESTINE	6.167808598
SW948_LARGE_INTESTINE	6.791983973
HS606T_BREAST	3.793456957
MDAMB415_BREAST	4.386283793
DMS79_LUNG	1.499069966
NCIH2106_LUNG	-1.106599214
SW579_THYROID	4.345113099
MDAMB468_BREAST	5.254025315
NCIH526_LUNG	-0.340083675
TOV112D_OVARY	6.630672955
BT549_BREAST	5.268954555
NCIH2196_LUNG	1.514282441
CAL851_BREAST	4.814537582
EFO21_OVARY	6.994517624
A375_SKIN	2.278254476
HT29_LARGE_INTESTINE	6.35728513
NCIH446_LUNG	6.718703855
HS294T_SKIN	2.905795912
SKMEL5_SKIN	5.590554386
HS944T_SKIN	3.025650056
TCCPAN2_PANCREAS	4.5539639
DOV13_OVARY	
RMGI_OVARY	5.304011735
PC3_PROSTATE	4.961212889
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.955305095
RT112_URINARY_TRACT	5.840984747
NUGC3_STOMACH	5.353466427
U87MG_CENTRAL_NERVOUS_SYSTEM	4.931865824
CAKI2_KIDNEY	4.928991961
OE19_OESOPHAGUS	6.273239991
KMRC2_KIDNEY	5.393609498
JHH2_LIVER	4.898838457
IM95_STOMACH	6.67058321
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.267400652
WM2664_SKIN	5.554643534
KMRC1_KIDNEY	2.959618364
KM12_LARGE_INTESTINE	6.287370544
COLO849_SKIN	
T84_LARGE_INTESTINE	6.499850752
CALU1_LUNG	4.848257972
LOXIMVI_SKIN	6.863869603
NCIH2170_LUNG	7.499359678
SQ1_LUNG	5.542244775
AN3CA_ENDOMETRIUM	4.340414369
NCIH2444_LUNG	4.449960691
UACC257_SKIN	5.583763398
KYSE510_OESOPHAGUS	7.642598875
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.54231032
HUPT4_PANCREAS	5.817050786
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	
KYSE30_OESOPHAGUS	4.71465544
KYSE150_OESOPHAGUS	4.852975764
PSN1_PANCREAS	8.864527082
NCIH1299_LUNG	5.680486798
PATU8988T_PANCREAS	6.25610515
IGR37_SKIN	5.298646453
LN443_CENTRAL_NERVOUS_SYSTEM	5.049379455
SLR23_KIDNEY	5.434361874
HMEL_BREAST	7.06537373
OELE_OVARY	5.416858463
LN235_CENTRAL_NERVOUS_SYSTEM	3.0078913
BJHTERT_SKIN	
LN428_CENTRAL_NERVOUS_SYSTEM	2.12882144
SLR24_KIDNEY	6.025303156
EWS502_BONE	6.43165292
SALE_LUNG	5.598281993
HCC2814_LUNG	5.051457565
SKRC31_KIDNEY	
TIG3TD_LUNG	4.035833764
TC32_BONE	
SF172_CENTRAL_NERVOUS_SYSTEM	5.662447161
PRECLH_PROSTATE	5.093761684
U343_CENTRAL_NERVOUS_SYSTEM	2.690473561
RCC4_KIDNEY	
LN215_CENTRAL_NERVOUS_SYSTEM	4.100324996
LN464_CENTRAL_NERVOUS_SYSTEM	5.853661828
SLR25_KIDNEY	4.525130661
U178_CENTRAL_NERVOUS_SYSTEM	3.907883717
F5_CENTRAL_NERVOUS_SYSTEM	
HEKTE_KIDNEY	4.726560151
SLR26_KIDNEY	5.120697779
SKRC20_KIDNEY	5.50633894
SF767_CENTRAL_NERVOUS_SYSTEM	5.793039547
A1207_CENTRAL_NERVOUS_SYSTEM	5.292041009
LN319_CENTRAL_NERVOUS_SYSTEM	4.446486018
HCC364_LUNG	5.232173356
UMRC6_KIDNEY	
LN382_CENTRAL_NERVOUS_SYSTEM	3.110089139
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	6.568469349
UMRC2_KIDNEY	
DFCI024_LUNG	
HCC1897_LUNG	
SLR21_KIDNEY	5.311138243
LNZ308_CENTRAL_NERVOUS_SYSTEM	3.51898409
LN340_CENTRAL_NERVOUS_SYSTEM	2.705811228
HCC827GR5_LUNG	5.815360427
SLR20_KIDNEY	5.025189927
HK2_KIDNEY	
EW8_BONE	6.350740538
UOK101_KIDNEY	5.186663327
JHESOAD1_OESOPHAGUS	4.558612226
CH157MN_CENTRAL_NERVOUS_SYSTEM	5.792936714
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.001444447
SCC25_UPPER_AERODIGESTIVE_TRACT	5.426462353
UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
MHHNB11_AUTONOMIC_GANGLIA	-2.050114884
HCC1806_BREAST	4.806777534
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.132892218
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.964636382
MKN7_STOMACH	5.764927257
SW1710_URINARY_TRACT	5.701372039
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.145495301
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.302884174
SCC15_UPPER_AERODIGESTIVE_TRACT	5.235216949
RS5_PLEURA	3.222692181
NCIH2126_LUNG	4.513190372
NCIH2141_LUNG	
NCIH1385_LUNG	2.903202798
HCC827_LUNG	7.071396402
RD_SOFT_TISSUE	5.188151899
TT_THYROID	3.566705243
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.549942324
HS172T_URINARY_TRACT	0.912816168
HS834T_SKIN	3.540274809
TE125T_SOFT_TISSUE	3.997546733
8305C_THYROID	5.206141402
UACC812_BREAST	4.96162862
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.485643976
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.117043156
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.845785962
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.9804738
DM3_PLEURA	3.46006
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.53705188
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.746142576
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.791495293
CL14_LARGE_INTESTINE	5.996391422
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.114309485
JL1_PLEURA	5.927041872
CAL148_BREAST	6.045936261
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.242429682
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.246053097
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.27502756
CL40_LARGE_INTESTINE	5.633377088
MDAMB134VI_BREAST	4.606148876
HCC1500_BREAST	3.644355706
HCC1599_BREAST	7.828148496
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.729758161
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.030999788
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.186130414
RH41_SOFT_TISSUE	4.535709416
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.266547371
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.41556294
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.248289682
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.871978819
HS698T_LARGE_INTESTINE	3.876330801
UACC893_BREAST	4.870727243
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.007830065
CHP126_AUTONOMIC_GANGLIA	-0.911528439
COLO680N_OESOPHAGUS	5.172718656
COLO678_LARGE_INTESTINE	2.919706428
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.625452123
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.008940277
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.602120247
CAL54_KIDNEY	5.922153454
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.388073929
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.122338436
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.136852219
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.647748035
VMCUB1_URINARY_TRACT	5.381029051
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.552661711
LXF289_LUNG	6.465194582
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.165826763
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.796277308
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.594831088
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.303196847
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.093212988
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.321551197
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.343859359
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.500715959
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.362186908
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.986342132
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.80143514
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.215042948
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.413148453
CAL78_BONE	4.142657881
HDQP1_BREAST	4.359679061
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.552063958
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.229775386
ONCODG1_OVARY	3.503311142
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.634507643
CAL29_URINARY_TRACT	4.628992124
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.291179132
SCLC21H_LUNG	8.394347551
CALU3_LUNG	5.297755776
NCIH1435_LUNG	4.643560625
NCIH2009_LUNG	5.186233204
NCIH1869_LUNG	6.196604077
HS852T_SKIN	3.113158405
HCC1419_BREAST	2.710119062
BT483_BREAST	3.985191798
HS281T_BREAST	3.47778593
HS934T_SKIN	3.926267035
HCC4006_LUNG	3.251396448
HCC1428_BREAST	4.856605237
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.107401796
SHP77_LUNG	4.641810871
TE441T_SOFT_TISSUE	5.253469686
NB1_AUTONOMIC_GANGLIA	-3.021395316
HS274T_BREAST	3.681662859
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.855839135
ZR7530_BREAST	5.63239976
HS863T_BONE	2.848022092
NCIH841_LUNG	4.534589998
HS821T_BONE	3.39201575
NCIH1944_LUNG	5.22231144
NCIH2405_LUNG	5.334465207
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.67686647
BEN_LUNG	5.135683926
COLO320_LARGE_INTESTINE	10.44885056
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.867716592
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.636123969
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.283592426
BFTC905_URINARY_TRACT	8.486898592
BFTC909_KIDNEY	4.931387319
MHHES1_BONE	8.177966319
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.57771567
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.411291933
NCIH727_LUNG	4.488921921
HS343T_BREAST	3.776610738
HCC2935_LUNG	2.924681321
HS888T_BONE	4.31855991
MKN45_STOMACH	4.24256706
8505C_THYROID	5.615895069
KU1919_URINARY_TRACT	4.680635736
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.0727211
CADOES1_BONE	6.404381365
S117_SOFT_TISSUE	4.763500214
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.256951098
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.478137483
CAL62_THYROID	5.302903971
LCLC103H_LUNG	3.751040872
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.171849006
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.015006112
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.608614895
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.2428239
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.925551542
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.842444151
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.936744051
LCLC97TM1_LUNG	7.404797254
2313287_STOMACH	5.814019116
BHT101_THYROID	7.869814458
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.886956054
CAL51_BREAST	3.199806817
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.919206411
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.784399114
SIMA_AUTONOMIC_GANGLIA	-1.66850951
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.199943074
BC3C_URINARY_TRACT	5.941422979
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.715350605
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.770280371
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.883351234
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.57852783
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.592198095
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.925545023
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.738656156
BCPAP_THYROID	1.662903025
639V_URINARY_TRACT	5.150932276
CL11_LARGE_INTESTINE	5.430013868
TT2609C02_THYROID	5.25830738
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CL34_LARGE_INTESTINE	7.422435936
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.977756199
CAL120_BREAST	6.380150163
647V_URINARY_TRACT	6.050775157
RH18_SOFT_TISSUE	4.298227618
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.361978969
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.552013049
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.163482154
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.414360202
JIMT1_BREAST	5.821913599
ML1_THYROID	5.498542959
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.37650764
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.284316362
COLO699_LUNG	
JHUEM7_ENDOMETRIUM	4.450448605
KP1NL_PANCREAS	
KP1N_PANCREAS	
M059J_CENTRAL_NERVOUS_SYSTEM	
MB157_BREAST	
OE21_OESOPHAGUS	4.132342202
SF8657_SKIN	
SNUC2B_LARGE_INTESTINE	
NCIH2073_LUNG	4.247339684
HN_UPPER_AERODIGESTIVE_TRACT	
HRT18_LARGE_INTESTINE	
HCT116G9B_ENGINEERED	
HCT116PA_ENGINEERED	
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.331283135
MUTZ2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.920679322
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.477275056
LC1_LUNG	
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.482362136
HOP62_LUNG	4.585130805
EKVX_LUNG	4.599647631
OVCAR5_OVARY	
UO31_KIDNEY	5.586326939
TK10_KIDNEY	
SF268_CENTRAL_NERVOUS_SYSTEM	4.98342752
SF539_CENTRAL_NERVOUS_SYSTEM	3.374855618
SNB75_CENTRAL_NERVOUS_SYSTEM	3.487692982
HOP92_LUNG	6.212163125
ACCS_URINARY_TRACT	
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.592599721
A427_LUNG	4.943341843
BT12_SOFT_TISSUE	6.011604171
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.976233103
CACO2_LARGE_INTESTINE	5.550122633
HCC2429_LUNG	6.312304251
HCC2450_LUNG	5.501601664
HCC461_LUNG	4.870426432
HCC515_LUNG	5.592840916
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.469019833
KD_SOFT_TISSUE	6.131090316
KPMRTRY_SOFT_TISSUE	5.690836916
MON_SOFT_TISSUE	5.305190891
NCIH2004RT_SOFT_TISSUE	6.403832901
NCIH2077_LUNG	5.415692647
NCIH2882_LUNG	4.525099947
NCIH2887_LUNG	6.180778903
NCIH1819_LUNG	1.494124719
NCIH3122_LUNG	5.507438021
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	5.165498953
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.623799124
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.958126005
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.128052551
PC9_LUNG	5.671189775
SKNEP1_BONE	6.421285281
SKPNDW_BONE	8.889530421
STM9101_SOFT_TISSUE	6.431127228
SIHA_CERVIX	3.042960677
TM87_SOFT_TISSUE	4.060148699
TTC709_SOFT_TISSUE	5.870108057
TTC1240_SOFT_TISSUE	6.76833912
TTC549_SOFT_TISSUE	5.142066692
TTC642_SOFT_TISSUE	6.966544352
BT16_SOFT_TISSUE	
CW9019_SOFT_TISSUE	
D384_CENTRAL_NERVOUS_SYSTEM	
D425_CENTRAL_NERVOUS_SYSTEM	
D458_CENTRAL_NERVOUS_SYSTEM	
D556_CENTRAL_NERVOUS_SYSTEM	
JR_SOFT_TISSUE	
MKL1_SKIN	
MKL2_SKIN	
PETA_SKIN	
SMSCTR_SOFT_TISSUE	
SUMB002_CENTRAL_NERVOUS_SYSTEM	
201T_LUNG	
451LU_NS	
A388_SKIN	
A431_SKIN	
ACN	
ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
ASH3_THYROID	
ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BB30HNC_UPPER_AERODIGESTIVE_TRACT	
BB49HNC_UPPER_AERODIGESTIVE_TRACT	
BB65RCC_KIDNEY	
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BE2M17_AUTONOMIC_GANGLIA	
BICR10_UPPER_AERODIGESTIVE_TRACT	
BICR78_UPPER_AERODIGESTIVE_TRACT	
BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BPH1_PROSTATE	
C33A_CERVIX	
C4I_CERVIX	
CA922_UPPER_AERODIGESTIVE_TRACT	
CAL39_VULVA	
CAL72_BONE	
CAR1_LARGE_INTESTINE	
CASKI_CERVIX	
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CHP134_AUTONOMIC_GANGLIA	
CHSA0011_BONE	
CHSA0108_BONE	
CHSA8926_BONE	
COLO824_BREAST	
CORL303_LUNG	
CORL321_PLEURA	
CORL32_LUNG	
CP50MELB_SKIN	
CP66MEL_SKIN	
CP67MEL_SKIN	
CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CROAP3	
CS1_BONE	
CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
D245MG_CENTRAL_NERVOUS_SYSTEM	
D247MG_CENTRAL_NERVOUS_SYSTEM	
D263MG_CENTRAL_NERVOUS_SYSTEM	
D336MG_CENTRAL_NERVOUS_SYSTEM	
D392MG_CENTRAL_NERVOUS_SYSTEM	
D423MG_CENTRAL_NERVOUS_SYSTEM	
D502MG_CENTRAL_NERVOUS_SYSTEM	
D542MG_CENTRAL_NERVOUS_SYSTEM	
D566MG_CENTRAL_NERVOUS_SYSTEM	
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
DIFI_LARGE_INTESTINE	
DJM1_SKIN	
DOK_UPPER_AERODIGESTIVE_TRACT	
DOTC24510_CERVIX	
DSH1_URINARY_TRACT	
EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
EGI1_BILIARY_TRACT	
EMCBAC1_LUNG	
EMCBAC2_LUNG	
ES1_BONE	
ES3_BONE	
ES4_BONE	
ES5_BONE	
ES6_BONE	
ES7_BONE	
ES8_BONE	
ESO26_OESOPHAGUS	
ESO51_OESOPHAGUS	
ETK1_BILIARY_TRACT	
EW11_BONE	
EW12_BONE	
EW13_BONE	
EW16_BONE	
EW18_BONE	
EW1_BONE	
EW22_BONE	
EW24_BONE	
EW3_BONE	
EW7_BONE	
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
FLO1_OESOPHAGUS	
GAK_SKIN	
GEO_LARGE_INTESTINE	
GIMEN_AUTONOMIC_GANGLIA	
GMEL_SKIN	
GOTO_AUTONOMIC_GANGLIA	
GP5D_LARGE_INTESTINE	
GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
GT3TKB_STOMACH	
H2369_PLEURA	
NCIH2595_PLEURA	
NCIH2722_PLEURA	
NCIH2731_PLEURA	
NCIH2795_PLEURA	
